id,name,cr,armorClass,hitPoint,str,dex,con,int,wis,cha
1,Goblin,0.25,15,7,8,14,10,10,8,8
2,Orc,0.5,13,15,16,12,16,7,11,10
3,Skeleton,0.25,13,13,10,14,15,6,8,5
4,Zombie,0.25,8,22,13,6,16,3,6,5
5,Kobold,0.125,12,5,7,15,9,8,7,8
6,Bandit,0.125,12,11,11,12,12,10,10,10
7,Wolf,0.25,13,11,12,15,12,3,12,6
8,Giant Rat,0.125,12,7,7,15,11,2,10,4
9,Cultist,0.125,12,9,11,12,10,10,11,10
10,Guard,0.125,16,11,13,12,12,10,11,10
11,Acolyte,0.25,10,9,10,10,10,10,14,11
12,Giant Spider,1,14,26,14,16,12,2,11,4
13,Ghoul,1,12,22,13,15,10,7,10,6
14,Gnoll,0.5,15,22,14,12,11,6,10,7
15,Hobgoblin,0.5,18,11,13,12,12,10,10,9
16,Bugbear,1,16,27,15,14,13,8,11,9
17,Dire Wolf,1,14,37,17,15,15,3,12,7
18,Brown Bear,1,11,34,19,10,16,2,13,7
19,Ogre,2,11,59,19,8,16,5,7,7
20,Gelatinous Cube,2,6,84,14,3,20,1,6,1
21,Mimic,2,12,58,17,12,15,5,13,8
22,Werewolf,3,11,58,15,13,14,10,11,10
23,Wight,3,14,45,15,14,16,10,13,15
24,Displacer Beast,3,13,85,18,15,16,6,12,8
25,Manticore,3,14,68,17,16,17,7,12,8
26,Minotaur,3,14,76,18,11,16,6,16,9
27,Owlbear,3,13,59,20,12,17,3,12,7
28,Basilisk,3,15,52,16,8,15,2,8,7
29,Ghost,4,11,45,7,13,10,10,12,17
30,Banshee,4,12,58,1,14,10,12,11,17
31,Shadow Demon,4,13,66,1,17,12,14,13,14
32,Helmed Horror,4,20,60,18,13,16,10,10,10
33,Succubus,4,15,66,8,17,13,15,12,20
34,Incubus,4,15,66,8,17,13,15,12,20
35,Chuul,4,16,93,19,10,16,5,11,5
36,Elephant,4,12,76,22,9,17,3,11,6
37,Stone Giant,7,17,126,23,15,20,10,12,9
38,Frost Giant,8,15,138,23,9,21,9,10,12
39,Fire Giant,9,18,162,25,9,23,10,14,13
40,Cloud Giant,9,14,200,27,10,22,12,16,16
41,Young Black Dragon,7,18,127,19,14,17,12,11,15
42,Young Blue Dragon,9,18,152,21,10,19,14,13,17
43,Young Green Dragon,8,18,136,19,12,17,16,13,15
44,Young White Dragon,6,17,133,18,10,18,6,11,12
45,Adult Black Dragon,14,19,195,23,14,21,14,13,17
46,Adult Blue Dragon,16,19,225,25,10,23,16,15,19
47,Adult Green Dragon,15,19,207,23,12,21,18,15,17
48,Adult White Dragon,13,18,200,22,10,22,8,12,12
49,Ancient Red Dragon,24,22,546,30,10,29,18,15,23
